[2024-12-01 14:45:39] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-12-01 14:45:39] warning: 	z2m: Allowing new devices to join.
[2024-12-01 14:45:39] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-12-01 14:45:55] info: 	z2m: Successfully changed options
[2024-12-01 14:45:55] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/options', payload '{"data":{"restart_required":false},"status":"ok","transaction":"ame45-1"}'
[2024-12-01 14:45:59] info: 	z2m: Configuring 'Alarm Repeater'
[2024-12-01 14:45:59] debug: 	zhc:setupattribute: Configure reporting: true, read: true for 0x0015bc0022000242/1 genOnOff [{"attribute":"onOff","min":"MIN","max":"MAX","change":1}]
[2024-12-01 14:45:59] debug: 	zh:controller:endpoint: Bind 0x0015bc0022000242/1 genOnOff from '0x00124b002e0e1c5f/1'
[2024-12-01 14:45:59] debug: 	zh:zstack:unpi:writer: --> frame [254,23,37,33,206,18,66,2,0,34,0,188,21,0,1,6,0,3,95,28,14,46,0,75,18,0,1,59]
[2024-12-01 14:45:59] debug: 	zh:zstack:unpi:parser: <-- [254,1,101,33,0,69]
[2024-12-01 14:45:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,101,33,0,69]
[2024-12-01 14:45:59] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 5 - 33 - [0] - 69
[2024-12-01 14:45:59] debug: 	zh:zstack:znp: <-- SRSP: ZDO - bindReq - {"status":0}
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: <-- [254,3,69,196,206,18,0,94]
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,69,196,206,18,0,94]
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 5 - 196 - [206,18,0] - 94
[2024-12-01 14:46:00] debug: 	zh:zstack:znp: <-- AREQ: ZDO - srcRtgInd - {"dstaddr":4814,"relaycount":0,"relaylist":[]}
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: <-- [254,3,69,161,206,18,0,59]
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,69,161,206,18,0,59]
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 5 - 161 - [206,18,0] - 59
[2024-12-01 14:46:00] debug: 	zh:zstack:znp: <-- AREQ: ZDO - bindRsp - {"srcaddr":4814,"zdo":[0,null]}
[2024-12-01 14:46:00] debug: 	zh:controller: Received ZDO response: clusterId=BIND_RESPONSE, status=SUCCESS, payload=undefined
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:00] debug: 	zh:controller:database: Writing database to '/config/zigbee2mqtt/database.db'
[2024-12-01 14:46:00] debug: 	zh:controller:endpoint: ZCL command 0x0015bc0022000242/1 genOnOff.configReport([{"minimumReportInterval":0,"maximumReportInterval":65000,"reportableChange":1,"attribute":"onOff"}], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false})
[2024-12-01 14:46:00] debug: 	zh:zstack: sendZclFrameToEndpointInternal 0x0015bc0022000242:4814/1 (0,0,1)
[2024-12-01 14:46:00] debug: 	zh:zstack:znp: --> SREQ: AF - dataRequest - {"dstaddr":4814,"destendpoint":1,"srcendpoint":1,"clusterid":6,"transid":5,"options":0,"radius":30,"len":11,"data":{"type":"Buffer","data":[16,198,6,0,0,0,16,0,0,232,253]}}
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:writer: --> frame [254,21,36,1,206,18,1,1,6,0,5,0,30,11,16,198,6,0,0,0,16,0,0,232,253,47]
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: <-- [254,1,100,1,0,100]
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,100,1,0,100]
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 4 - 1 - [0] - 100
[2024-12-01 14:46:00] debug: 	zh:zstack:znp: <-- SRSP: AF - dataRequest - {"status":0}
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: <-- [254,3,68,128,0,1,5,195]
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,0,1,5,195]
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [0,1,5] - 195
[2024-12-01 14:46:00] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":0,"endpoint":1,"transid":5}
[2024-12-01 14:46:00] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:46:05] debug: 	z2m:mqtt: Received MQTT message on 'zigbee2mqtt/Alarm Siren/set/alarm' with data 'START'
[2024-12-01 14:46:05] debug: 	z2m: Publishing 'set' 'alarm' to 'Alarm Siren'
[2024-12-01 14:46:05] debug: 	zh:controller:endpoint: ZCL command 0x0015bc0041007a25/43 ssIasWd.startWarning({"startwarninginfo":196,"warningduration":300,"strobedutycycle":0,"strobelevel":0}, {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":false,"direction":0,"reservedBits":0,"writeUndiv":false})
[2024-12-01 14:46:05] debug: 	zh:zstack: sendZclFrameToEndpointInternal 0x0015bc0041007a25:58832/43 (0,0,2)
[2024-12-01 14:46:05] debug: 	zh:zstack:znp: --> SREQ: AF - dataRequest - {"dstaddr":58832,"destendpoint":43,"srcendpoint":1,"clusterid":1282,"transid":6,"options":0,"radius":30,"len":8,"data":{"type":"Buffer","data":[1,199,0,196,44,1,0,0]}}
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:writer: --> frame [254,18,36,1,208,229,43,1,2,5,6,0,30,8,1,199,0,196,44,1,0,0,16]
[2024-12-01 14:46:05] debug: 	zh:zstack:unpi:parser: <-- [254,1,100,1,0,100]
