[2025-01-19 17:07:58] debug: 	z2m: Removing old log directory '/config/zigbee2mqtt/log/2025-01-19.16-46-31'
[2025-01-19 17:07:58] info: 	z2m: Logging to console, file (filename: log.log)
[2025-01-19 17:07:58] debug: 	z2m: Loaded state from file /config/zigbee2mqtt/state.json
[2025-01-19 17:07:58] info: 	z2m: Starting Zigbee2MQTT version 2.0.0 (commit #unknown)
[2025-01-19 17:07:58] debug: 	z2m: sd-notify loaded
[2025-01-19 17:07:58] info: 	z2m: Starting zigbee-herdsman (3.2.1)
[2025-01-19 17:07:58] debug: 	z2m: Using zigbee-herdsman with settings: '"{\"network\":{\"panID\":40268,\"extendedPanID\":[154,82,143,134,147,26,188,167],\"channelList\":[11],\"networkKey\":\"HIDDEN\"},\"databasePath\":\"/config/zigbee2mqtt/database.db\",\"databaseBackupPath\":\"/config/zigbee2mqtt/database.db.backup\",\"backupPath\":\"/config/zigbee2mqtt/coordinator_backup.json\",\"serialPort\":{\"baudRate\":115200,\"path\":\"tcp://192.168.87.68:6638\",\"adapter\":\"zstack\"},\"adapter\":{\"disableLED\":false,\"transmitPower\":20}}"'
[2025-01-19 17:07:59] debug: 	zh:controller: Starting with options '{"network":{"networkKeyDistribute":false,"networkKey":"HIDDEN","panID":40268,"extendedPanID":[154,82,143,134,147,26,188,167],"channelList":[11]},"serialPort":{"baudRate":115200,"path":"tcp://192.168.87.68:6638","adapter":"zstack"},"adapter":{"disableLED":false,"transmitPower":20},"databasePath":"/config/zigbee2mqtt/database.db","databaseBackupPath":"/config/zigbee2mqtt/database.db.backup","backupPath":"/config/zigbee2mqtt/coordinator_backup.json"}'
[2025-01-19 17:07:59] info: 	zh:zstack:znp: Opening TCP socket with 192.168.87.68:6638
[2025-01-19 17:07:59] info: 	zh:zstack:znp: Socket connected
[2025-01-19 17:07:59] info: 	zh:zstack:znp: Socket ready
[2025-01-19 17:07:59] info: 	zh:zstack:znp: Writing CC2530/CC2531 skip bootloader payload
[2025-01-19 17:07:59] debug: 	zh:zstack:unpi:writer: --> buffer [239]
[2025-01-19 17:07:59] debug: 	zh:zstack:unpi:parser: <-- [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,128,128,128,128,0,0,136,128,0,128,128,128,136,168,40,160,168,5,168,133,160,136,193,232,131,172,173,164,211,232,173,45,175,173,237,239,239,189,239,239]
[2025-01-19 17:07:59] debug: 	zh:zstack:unpi:parser: --- parseNext [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,128,128,128,128,0,0,136,128,0,128,128,128,136,168,40,160,168,5,168,133,160,136,193,232,131,172,173,164,211,232,173,45,175,173,237,239,239,189,239,239]
[2025-01-19 17:08:00] info: 	zh:zstack:znp: Skip bootloader for CC2652/CC1352
[2025-01-19 17:08:00] debug: 	zh:zstack:znp: --> SREQ: SYS - ping - {"capabilities":1}
[2025-01-19 17:08:00] debug: 	zh:zstack:unpi:writer: --> frame [254,0,33,1,32]
[2025-01-19 17:08:01] debug: 	zh:zstack:unpi:parser: <-- [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128,0,128,128,128,128,128,128,128,1,138,128,128,1,5,129,1,193,168,129,129,129,39,133,165,173,175,185,239,239,239]
[2025-01-19 17:08:01] debug: 	zh:zstack:unpi:parser: --- parseNext [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,128,128,128,128,0,0,136,128,0,128,128,128,136,168,40,160,168,5,168,133,160,136,193,232,131,172,173,164,211,232,173,45,175,173,237,239,239,189,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128,0,128,128,128,128,128,128,128,1,138,128,128,1,5,129,1,193,168,129,129,129,39,133,165,173,175,185,239,239,239]
[2025-01-19 17:08:03] debug: 	zh:zstack:unpi:parser: <-- [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,128,0,0,128,0,0,128,1,128,0,128,128,128,128,128,0,0,136,128,128,168,131,172,168,169,160,168,232,238,233,239,239,238,255]
[2025-01-19 17:08:03] debug: 	zh:zstack:unpi:parser: --- parseNext [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,128,128,128,128,0,0,136,128,0,128,128,128,136,168,40,160,168,5,168,133,160,136,193,232,131,172,173,164,211,232,173,45,175,173,237,239,239,189,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128,0,128,128,128,128,128,128,128,1,138,128,128,1,5,129,1,193,168,129,129,129,39,133,165,173,175,185,239,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,128,0,0,128,0,0,128,1,128,0,128,128,128,128,128,0,0,136,128,128,168,131,172,168,169,160,168,232,238,233,239,239,238,255]
[2025-01-19 17:08:05] debug: 	zh:zstack:unpi:parser: <-- [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,128,128,128,0,0,128,128,128,128,128,128,160,160,128,160,128,129,132,104,128,128,128,160,128,0,128,128,128,136,136,65,160,160,128,128,128,128,128,168,137,168,160,129,160,160,160,1,168,1,197,128,168,172,199,195,168,209,195,213,237,173,236,169,176,233,237,233,171,175,175,239,239,239,239,239,239]
[2025-01-19 17:08:05] debug: 	zh:zstack:unpi:parser: --- parseNext [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,128,128,128,128,0,0,136,128,0,128,128,128,136,168,40,160,168,5,168,133,160,136,193,232,131,172,173,164,211,232,173,45,175,173,237,239,239,189,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128,0,128,128,128,128,128,128,128,1,138,128,128,1,5,129,1,193,168,129,129,129,39,133,165,173,175,185,239,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,128,0,0,128,0,0,128,1,128,0,128,128,128,128,128,0,0,136,128,128,168,131,172,168,169,160,168,232,238,233,239,239,238,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,128,128,128,0,0,128,128,128,128,128,128,160,160,128,160,128,129,132,104,128,128,128,160,128,0,128,128,128,136,136,65,160,160,128,128,128,128,128,168,137,168,160,129,160,160,160,1,168,1,197,128,168,172,199,195,168,209,195,213,237,173,236,169,176,233,237,233,171,175,175,239,239,239,239,239,239]
[2025-01-19 17:08:06] debug: 	zh:zstack:znp: --> SREQ: SYS - ping - {"capabilities":1}
